# chg42 sweep 4200-42FF
4201 05
4205 0102
4207 0A
4214 000010
4216 E9927611
4217 00000C9D
4218 DAD8010B
421A 02
4231 0909
4232 0F
423B 30
423D 8F
423E 1A
423F 01
4249 08
424A 88888818DAF1402188110000000000
424B 05120518DAF1402112051208070705
424C 00888818DAF1402188880000000000
424D 00000E18DAF140210E0E0E0E0E0E0E
424F 00001018DAF1402110101010101010
4250 00002D18DAF140212D282828282727
4251 00000918DAF140210923231B1B3635
425D 03
425F 01
4260 01
4263 03
4264 0F
4266 00000018DAF1402100000000000000
4267 88808818DAF1402181880000000000
4268 0A0A0A18DAF14021000A0A0A010909
4269 13100D18DAF14021000B0B0B001616
426A 39032F18DAF14021002D230C002120
426B 30032418DAF1402100180612000935
4294 8F05
42D8 0258
42EB 01
42F7 01
42F8 01
42F9 01
done
