# chg44 sweep 4400-44FF
441D 0110
441E 00000018DAF140210000020700018018DAF140220180018001800118DAF1402380018001800180
441F 3E220318DAF140215F0E001A1A0002
4421 00FFFF18DAF14021FFFF0000000000
4427 01
4430 04
4431 04
4432 04
4433 04
4434 04
4435 40
4436 40
4437 40
4438 40
4439 40
443B 0C
443C 64
4440 01
4441 64
4472 0800
4473 00000018DAF1402100000000000000
4480 01
448E 01
448F 001EFE52
44C0 3E3E3F3F
44C1 37363736
44C5 01600318DAF140215F0060015F0000
44C8 00000018DAF1402100000000000000
44C9 01
44CA 7000E218DAF14021397000E1B9700018DAF14022EB4A7000E1FF00
44CB 0909
44CC 0F
44CD 24
44D4 14
44D7 00DD0018DAF14021DD00DD00000000
44D8 00DD0018DAF14021DD00DD00000000
44DA 0909
44DE 00000F18DAF140212D00000D1B000018DAF140220D1600000D1B00
44DF 00000018DAF1402100000012F2000018DAF140220802000002BC00
44E0 0FFF0F18DAF14021FF0FFF0FFF00D118DAF1402200D100E700E70018DAF14023D400D400E900E918DAF140240034003400390018DAF1402539000000000000
44E1 01050118DAF1402105012101210000
44E2 00FA0018DAF14021FA00FD00FD0000
44E3 EEEE
44E5 FFFEFF18DAF14021FEFFFEFFFE0000
44E6 FFFE
44E8 DB78D318DAF14021A3D0A3D62E0000
44E9 37873618DAF140211035FD37560000
44EA 0001D618DAF14021820001D29A000118DAF14022E9D800012CC800
44F2 105D
44F3 1216
44FF 08
done
